Paï¿½s|Total_Audiovisual|
United States of America|5208|
India|1297|
United Kingdom|972|
Canada|557|
France|435|
Japan|334|
Germany|252|
Spain|247|
South Korea|245|
Australia|189|
China|178|
Mexico|176|
Egypt|119|
Italy|114|
Turkey|113|
Hong Kong|110|
Nigeria|103|
Brazil|103|
Belgium|96|
Argentina|95|
Taiwan|95|
Indonesia|90|
Philippines|85|
Thailand|72|
South Africa|67|
Denmark|57|
Ireland|56|
Netherlands|53|
Colombia|53|
Sweden|46|
Singapore|44|
Poland|43|
United Arab Emirates|40|
New Zealand|37|
Norway|32|
Lebanon|31|
Chile|30|
Israel|30|
Malaysia|29|
Russia|28|
Pakistan|25|
Czech Republic|25|
Switzerland|24|
Austria|17|
Hungary|15|
Romania|14|
Luxembourg|14|
Uruguay|14|
Saudi Arabia|13|
Iceland|11|
Finland|11|
Greece|11|
Bulgaria|10|
Peru|10|
Jordan|9|
Qatar|9|
Kuwait|8|
Serbia|7|
Vietnam|7|
Portugal|7|
Morocco|6|
Kenya|6|
Iran|6|
Cambodia|5|
West Germany|5|
Ghana|5|
Slovenia|4|
Bangladesh|4|
Syria|4|
Venezuela|4|
Croatia|4|
Soviet Union|3|
Malta|3|
Ukraine|3|
Algeria|3|
Senegal|3|
Zimbabwe|3|
Georgia|3|
Namibia|3|
Kazakhstan|3|
Guatemala|3|
Mauritius|2|
Panama|2|
Botswana|2|
Iraq|2|
Nepal|2|
Angola|2|
Cayman Islands|2|
Albania|2|
United Kingdom||2
Kosovo|2|
Afghanistan|2|
Mongolia|1|
Mozambique|1|
Armenia|1|
Ecuador|1|
Cambodia||1
Cyprus|1|
Poland||1
Slovakia|1|
Latvia|1|
Cuba|1|
Somalia|1|
Ethiopia|1|
East Germany|1|
Lithuania|1|
Vatican City|1|
Sri Lanka|1|
Dominican Republic|1|
Sudan|1|
Uganda|1|
Nicaragua|1|
Montenegro|1|
United States||1
Tanzania|1|
Palestine|1|
Cameroon|1|
Azerbaijan|1|
Liechtenstein|1|
Bahamas|1|
Puerto Rico|1|
Bermuda|1|
Burkina Faso|1|
Monaco|1|
Malawi|1|
Samoa|1|
Paraguay|1|
Belarus|1|
Jamaica|1|
